IATA3,Name,City,Country,Elevation,Latitude,Longitude
54J,DeFuniak Springs Airport,DeFuniak Springs,United States,289,30.7311111,-86.1537778
55J,Fernandina Beach Municipal Airport,Fernandina Beach,United States,16,30.6118333,-81.4611944
57C,East Troy Municipal Airport,East Troy,United States,860,42.79719925,-88.37259674
5B2,Saratoga County Airport,Ballston Spa,United States,434,43.05130005,-73.86119843
6A2,Griffin-Spalding County Airport,Griffin,United States,958,33.2269722,-84.2749444
6J4,Saluda County Airport,Saluda,United States,555,33.92679977,-81.79460144
6S0,Big Timber Airport,Big Timber,United States,4492,45.8064003,-109.9810028
6S9,Stehekin State Airport,Stehekin,United States,1230,48.3457778,-120.7208056
6Y1,Bois Blanc Island Airport,Bois Blanc Island,United States,664,45.7662977,-84.5038139
6Y8,Welke Airport,Beaver Island,United States,664,45.721111,-85.520278
70J,Cairo-Grady County Airport,Cairo,United States,265,30.8879767,-84.1547353
70N,Spring Hill Airport,Sterling,United States,1729,41.3473569,-75.4158972
79J,South Alabama Regional Airport,Andalusia,United States,310,31.308333,-86.392222
7D9,Germack Airport,Geneva,United States,820,41.7778322,-80.9039797
7N7,Spitfire Aerodrome,Pedricktown,United States,40,39.7355633,-75.3977211
7W6,Hyde County Airport,Engelhard,United States,8,35.56240082,-75.9552002
87K,El Dorado Springs Memorial Airport,El dorado springs,United States,931,37.8567009,-93.99909973
8A1,Guntersville Municipal Airport - Joe Starnes Field,Guntersville,United States,615,34.4017219,-86.2657787
8M8,Garland Airport,Lewiston,United States,1218,44.8065278,-84.2761944
93C,Richland Airport,Richland Center,United States,742,43.2833575,-90.2982819
99N,Bamberg County Airport,Bamberg,United States,231,33.3045278,-81.1084167
9A1,Covington Municipal Airport,Covington,United States,809,33.6323083,-83.8474472
9A5,Barwick Lafayette Airport,LaFayette,United States,777,34.6884792,-85.2903319
9G1,Rock Airport,Tarentum,United States,1063,40.6035463,-79.8261189
A39,Ak-Chin Regional Airport,Phoenix,United States,1300,32.9908056,-111.9185278
A50,Colorado Springs East Airport,Ellicott,United States,6145,38.87440109,-104.4100037
AAA,Anaa Airport,Anaa,French Polynesia,10,-17.3526001,-145.5099945
AAC,El Arish International Airport,El Arish,Egypt,121,31.07329941,33.83580017
AAE,Annaba Airport,Annaba,Algeria,16,36.82220078,7.809169769
AAF,Apalachicola Regional Airport,Apalachicola,United States,20,29.72750092,-85.02749634
AAH,Aachen-Merzbrück Airport,Aachen,Germany,623,50.82305527,6.186388969
AAK,Buariki Airport,Buariki,Kiribati,0,0.185277998,173.6369934
AAL,Aalborg Airport,Aalborg,Denmark,10,57.09275891,9.849243164
AAM,Malamala Airport,Malamala,South Africa,1124,-24.81809998,31.54459953
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,869,24.26169968,55.60919952
AAO,Anaco Airport,Anaco,Venezuela,721,9.430225372,-64.47072601
AAP,Andrau Airpark,Houston,United States,79,29.72249985,-95.58830261
AAQ,Anapa Vityazevo Airport,Anapa,Russia,174,45.0021019,37.34730148
AAR,Aarhus Airport,Aarhus,Denmark,82,56.29999924,10.61900043
AAT,Altay Airport,Altay,China,2491,47.866667,88.116667
AAU,Asau Airport,Savai'i,Samoa,6,-13.505,-172.627778
AAV,Allah Valley Airport,Surallah,Philippines,659,6.366819859,124.7509995
AAX,Romeu Zema Airport,Araxa,Brazil,3276,-19.5632,-46.96039963
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,134,16.19169998,52.17499924
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala,7779,14.86559963,-91.5019989
ABA,Abakan Airport,Abakan,Russia,831,53.74000168,91.38500214
ABD,Abadan Airport,Abadan,Iran,10,30.37109947,48.22829819
ABE,Lehigh Valley International Airport,Allentown,United States,393,40.65209961,-75.44080353
ABF,Abaiang Airport,Abaiang Atoll,Kiribati,0,1.798609972,173.0410004
ABH,Alpha Airport,Alpha,Australia,1255,-23.646099,146.584
ABI,Abilene Regional Airport,Abilene,United States,1791,32.41130066,-99.68190002
ABJ,Port Bouet Airport,Abidjan,Cote d'Ivoire,21,5.261390209,-3.926290035
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia,1800,6.734000206,44.25299835
ABL,Ambler Airport,Ambler,United States,334,67.10630035,-157.8569946
ABM,Northern Peninsula Airport,Amberley,Australia,34,-10.9508,142.459
ABN,Albina Airport,Albina,Suriname,19,5.512720108,-54.05009842
ABQ,Albuquerque International Sunport Airport,Albuquerque,United States,5355,35.04019928,-106.6090012
ABR,Aberdeen Regional Airport,Aberdeen,United States,1302,45.44910049,-98.42179871
ABS,Abu Simbel Airport,Abu Simbel,Egypt,616,22.37599945,31.61170006
ABT,Al Baha Airport,El-baha,Saudi Arabia,5486,20.29610062,41.63430023
ABU,Haliwen Airport,Atambua,Indonesia,1434,-9.333333,124.9
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,1123,9.006790161,7.263169765
ABX,Albury Airport,Albury,Australia,539,-36.06779861,146.9579926
ABY,Southwest Georgia Regional Airport,Albany,United States,197,31.53549957,-84.19450378
ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom,215,57.20190048,-2.197779894
ACA,General Juan N Alvarez International Airport,Acapulco,Mexico,16,16.75709915,-99.7539978
ACC,Kotoka International Airport,Accra,Ghana,205,5.6051898,-0.166786
ACD,Alcides Fernández Airport,Acandi,Colombia,50,8.51667,-77.3
ACE,Lanzarote Airport,Arrecife,Spain,46,28.94549942,-13.60519981
ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland,1306,47.48500061,9.560770035
ACI,Alderney Airport,Alderney,Guernsey,290,49.70610046,-2.214720011
ACJ,Anuradhapura Air Force Base,Anuradhapura,Sri Lanka,324,8.30148983,80.42790222
ACK,Nantucket Memorial Airport,Nantucket,United States,47,41.25310135,-70.06020355
ACP,Sahand Airport,Maragheh,Iran,4396,37.34799957,46.12789917
ACR,Araracuara Airport,Araracuara,Colombia,1250,-0.5833,-72.4083
ACS,Achinsk Airport,Achinsk,Russia,1033,56.2682991,90.57080078
ACT,Waco Regional Airport,Waco,United States,516,31.61129951,-97.23049927
ACU,Achutupo Airport,Achutupo,Panama,0,9.2,-77.98
ACV,Arcata Airport,Arcata CA,United States,221,40.97809982,-124.1090012
ACX,Xingyi Airport,Xingyi,China,4150,25.08638889,104.9594444
ACY,Atlantic City International Airport,Atlantic City,United States,75,39.45759964,-74.57720184
ACZ,Zabol Airport,Zabol,Iran,1628,31.09830093,61.54389954
ADA,Adana Airport,Adana,Turkey,65,36.98220062,35.28039932
ADB,Adnan Menderes International Airport,Izmir,Turkey,412,38.29240036,27.15699959
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,7630,8.977890015,38.79930115
ADE,Aden International Airport,Aden,Yemen,7,12.8295002,45.02880096
ADF,Adıyaman Airport,Adiyaman,Turkey,2216,37.73139954,38.46889877
ADH,Aldan Airport,Aldan,Russia,2241,58.60279846,125.4089966
ADI,Arandis Airport,Arandis,Namibia,1905,-22.46220016,14.97999954
ADJ,Amman-Marka International Airport,Amman,Jordan,2555,31.97270012,35.99160004
ADK,Adak Airport,Adak Island,United States,18,51.87799835,-176.6459961
ADL,Adelaide International Airport,Adelaide,Australia,20,-34.94499969,138.5310059
ADM,Ardmore Municipal Airport,Ardmore,United States,777,34.30301,-97.0196342
ADQ,Kodiak Airport,Kodiak,United States,78,57.75,-152.4940033
ADS,Addison Airport,Addison,United States,644,32.96860123,-96.83640289
ADU,Ardabil Airport,Ardabil,Iran,4315,38.32569885,48.42440033
ADW,Andrews Air Force Base,Camp Springs,United States,280,38.81079865,-76.86699677
ADX,RAF Leuchars,Leuchars,United Kingdom,38,56.3728981,-2.868439913
ADY,Alldays Airport,Alldays,South Africa,2600,-22.67900085,29.05550003
ADZ,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,19,12.5836,-81.7112
AEA,Abemama Atoll Airport,Abemama,Kiribati,8,0.490833014,173.8289948
AEH,Abeche Airport,Abeche,Chad,1788,13.84700012,20.84429932
AEP,Jorge Newbery Airpark,Buenos Aires,Argentina,18,-34.5592,-58.4156
AER,Sochi International Airport,Sochi,Russia,89,43.44990158,39.95660019
AES,Ålesund Airport,Alesund,Norway,69,62.5625,6.119699955
AET,Allakaket Airport,Allakaket,United States,441,66.55180359,-152.621994
AEX,Alexandria International Airport,Alexandria,United States,89,31.32740021,-92.54979706
AEY,Akureyri Airport,Akureyri,Iceland,6,65.66000366,-18.0727005
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,2470,-34.588299,-68.4039
AFE,Kake Airport,Kake,United States,172,56.96139908,-133.9100037
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,948,-9.866389275,-56.10499954
AFS,Sugraly Airport,Zarafshan,Uzbekistan,1396,41.61389923,64.23320007
AFT,Afutara Aerodrome,Afutara,Solomon Islands,23,-9.191388889,160.9486111
AFW,Fort Worth Alliance Airport,Fort Worth,United States,722,32.98759842,-97.31880188
AFY,Afyon Airport,Afyon,Turkey,3310,38.72639847,30.60110092
AFZ,Sabzevar National Airport,Sabzevar,Iran,3010,36.16809845,57.59519958
AGA,Al Massira Airport,Agadir,Morocco,250,30.32500076,-9.413069725
AGB,Augsburg Airport,Augsburg,Germany,1516,48.425278,10.931667
AGC,Allegheny County Airport,Pittsburgh,United States,1252,40.35440063,-79.93019867
AGE,Wangerooge Airport,Wangerooge,Germany,7,53.78277969,7.913888931
AGF,Agen-La Garenne Airport,Agen,France,204,44.17470169,0.590556026
AGH,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,68,56.29610062,12.84710026
AGI,Wageningen Airstrip,Wageningen,Suriname,6,5.766666889,-56.6333313
AGJ,Aguni Airport,Aguni,Japan,38,26.59250069,127.2409973
AGL,Wanigela Airport,Wanigela,Papua New Guinea,0,-9.333,149.15
AGM,Tasiilaq Heliport,Angmagssalik,Greenland,24,65.61229608,-37.61833549
AGN,Angoon Seaplane Base,Angoon,United States,0,57.503601,-134.585007
AGP,Málaga Airport,Malaga,Spain,53,36.67490005,-4.499110222
AGQ,Agrinion Air Base,Agrinion,Greece,154,38.602001,21.3512001
AGR,Agra Airport,Agra,India,551,27.15579987,77.96089935
AGS,Augusta Regional At Bush Field,Bush Field,United States,144,33.36989975,-81.96450043
AGT,Guarani International Airport,Ciudad del Este,Paraguay,846,-25.454516,-54.842682
AGU,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,6112,21.705601,-102.318001
AGV,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,640,9.553375244,-69.23786926
AGX,Agatti Airport,Agatti Island,India,14,10.82369995,72.1760025
AGZ,Aggeneys Airport,Aggeneys,South Africa,2648,-29.28179932,18.81389999
AHB,Abha Regional Airport,Abha,Saudi Arabia,6858,18.24040031,42.65660095
AHE,Ahe Airport,Ahe,French Polynesia,11,-14.42809963,-146.2570038
AHN,Athens Ben Epps Airport,Athens,United States,808,33.94860077,-83.32630157
AHO,Alghero-Fertilia Airport,Alghero,Italy,87,40.632099,8.29077
AHQ,Wahoo Municipal Airport,Wahoo,United States,1224,41.24129868,-96.59400177
AHS,Ahuas Airport,Ahuas,Honduras,249,15.4722,-84.352203
AHU,Cherif Al Idrissi Airport,Al Hociema,Morocco,95,35.17710114,-3.839519978
AIA,Alliance Municipal Airport,Alliance,United States,3931,42.05319977,-102.8040009
AIC,Airok Airport,Airok,Marshall Islands,10,7.1,171.233333
AIK,Aiken Municipal Airport,Aiken,United States,528,33.6493988,-81.68499756
AIM,Ailuk Airport,Ailuk Island,Marshall Islands,0,10.2168,169.983
AIN,Wainwright Airport,Wainwright,United States,41,70.63800049,-159.9949951
AIR,Aripuanã Airport,Aripuana,Brazil,623,-10.250278,-59.383888
AIS,Arorae Island Airport,Arorae,Kiribati,0,-2.616110086,176.8029938
AIT,Aitutaki Airport,Aitutaki,Cook Islands,14,-18.83090019,-159.7640076
AIU,Enua Airport,Atiu Island,Cook Islands,36,-19.96780014,-158.1190033
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,869,38.09600067,-92.54949951
AJA,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,18,41.92359924,8.802920341
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,2261,29.78510094,40.09999847
AJI,Ağrı Airport,Agri,Turkey,5462,39.65454102,43.02597809
AJL,Lengpui Airport,Aizwal,India,1398,23.84059906,92.61969757
AJN,Ouani Airport,Anjouan,Comoros,62,-12.13169956,44.43030167
AJR,Arvidsjaur Airport,Arvidsjaur,Sweden,1245,65.59030151,19.28190041
AJU,Santa Maria Airport,Aracaju,Brazil,23,-10.98400021,-37.07030106
AJY,Mano Dayak International Airport,Agadez,Niger,1657,16.9659996,8.000109673
AKA,Ankang Wulipu Airport,Ankang,China,860,32.708099,108.931
AKB,Atka Airport,Atka,United States,57,52.22029877,-174.2059937
AKC,Akron Fulton International Airport,Akron,United States,1067,41.03749847,-81.46690369
AKD,Akola Airport,Akola,India,999,20.6989994,77.05860138
AKF,Kufra Airport,Kufra,Libya,1367,24.17869949,23.31399918
AKI,Akiak Airport,Akiak,United States,30,60.9029007,-161.2310028
AKJ,Asahikawa Airport,Asahikawa,Japan,721,43.67079926,142.4470062
AKK,Akhiok Airport,Akhiok,United States,44,56.93870163,-154.1829987
AKL,Auckland International Airport,Auckland,New Zealand,23,-37.0080986,174.7920074
AKN,King Salmon Airport,King Salmon,United States,73,58.67679977,-156.6490021
AKO,Colorado Plains Regional Airport,Akron,United States,4714,40.17559814,-103.2220001
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,2102,68.13359833,-151.7429962
AKR,Akure Airport,Akure,Nigeria,1100,7.246739864,5.301010132
AKS,Auki Airport,Auki,Solomon Islands,5,-8.702569962,160.6820068
AKT,RAF Akrotiri,Akrotiri,Cyprus,76,34.590401,32.9879
AKU,Aksu Airport,Aksu,China,3816,41.262501,80.291702
AKV,Akulivik Airport,Akulivik,Canada,75,60.8185997,-78.14859772
AKX,Aktobe Airport,Aktyubinsk,Kazakhstan,738,50.24580002,57.20669937
AKY,Sittwe Airport,Sittwe,Burma,27,20.13269997,92.87259674
ALA,Almaty Airport,Alma-ata,Kazakhstan,2234,43.35210037,77.04049683
ALB,Albany International Airport,Albany,United States,285,42.74829865,-73.80169678
ALC,Alicante International Airport,Alicante,Spain,142,38.28219986,-0.558156013
ALF,Alta Airport,Alta,Norway,9,69.97609711,23.37170029
ALG,Houari Boumediene Airport,Algier,Algeria,82,36.69100189,3.215409994
ALH,Albany Airport,Albany,Australia,233,-34.94329834,117.8089981
ALI,Alice International Airport,Alice,United States,178,27.74090004,-98.02690125
ALJ,Alexander Bay Airport,Alexander Bay,South Africa,98,-28.57500076,16.5333004
ALL,Villanova D'Albenga International Airport,Albenga,Italy,148,44.050598,8.12743
ALM,Alamogordo White Sands Regional Airport,Alamogordo,United States,4200,32.83990097,-105.9909973
ALN,St Louis Regional Airport,Alton/St Louis,United States,544,38.89030075,-90.04599762
ALO,Waterloo Regional Airport,Waterloo,United States,873,42.55709839,-92.40029907
ALP,Aleppo International Airport,Aleppo,Syria,1276,36.18069839,37.22439957
ALR,Alexandra Airport,Alexandra,New Zealand,752,-45.21170044,169.3730011
ALS,San Luis Valley Regional Bergman Field,Alamosa,United States,7539,37.434898,-105.866997
ALU,Alula Airport,Alula,Somalia,6,11.9582,50.748
ALW,Walla Walla Regional Airport,Walla Walla,United States,1194,46.09489822,-118.288002
ALX,Thomas C Russell Field,Alexander City,United States,686,32.91469955,-85.96299744
ALY,El Nouzha Airport,Alexandria,Egypt,-6,31.18390083,29.94890022
ALZ,Alitak Seaplane Base,Lazy Bay,United States,0,56.899444,-154.247778
AMA,Rick Husband Amarillo International Airport,Amarillo,United States,3607,35.2193985,-101.7060013
AMB,Ambilobe Airport,Ambilobe,Madagascar,72,-13.18840027,48.98799896
AMC,Am Timan Airport,Am Timan,Chad,1420,11.0340004,20.27400017
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,189,23.07719994,72.63469696
AMH,Arba Minch Airport,Arba Minch,Ethiopia,3901,6.039390087,37.59049988
AMI,Selaparang Airport,Mataram,Indonesia,52,-8.560709953,116.0950012
AMM,Queen Alia International Airport,Amman,Jordan,2395,31.72260094,35.99319839
AMQ,"Pattimura Airport, Ambon",Ambon,Indonesia,33,-3.710259914,128.0890045
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,-11,52.30860138,4.76388979
AMV,Amderma Airport,Amderma,Russia,13,69.76329803,61.5564003
AMY,Ambatomainty Airport,Ambatomainty,Madagascar,500,-17.1667,47.1833
AMZ,Ardmore Airport,Ardmore,New Zealand,111,-37.02970123,174.9730072
ANB,Anniston Metropolitan Airport,Anniston,United States,612,33.58819962,-85.85810089
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,152,61.17440033,-149.9960022
AND,Anderson Regional Airport,Andersen,United States,782,34.49459839,-82.70939636
ANE,Angers-Loire Airport,Angers/Marcé,France,194,47.56029892,-0.312222004
ANF,Cerro Moreno Airport,Antofagasta,Chile,455,-23.44449997,-70.44509888
ANG,Angoulême-Brie-Champniers Airport,Angouleme,France,436,45.72919846,0.221456006
ANI,Aniak Airport,Aniak,United States,88,61.58160019,-159.5429993
ANK,Etimesgut Air Base,Ankara,Turkey,2653,39.94979858,32.68859863
ANM,Antsirabato Airport,Antalaha,Madagascar,20,-14.99940014,50.32020187
ANN,Annette Island Airport,Annette Island,United States,119,55.04240036,-131.5720062
ANP,Lee Airport,Annapolis,United States,34,38.942902,-76.568398
ANQ,Tri State Steuben County Airport,Angola,United States,995,41.639702,-85.083504
ANR,Antwerp International Airport (Deurne),Antwerp,Belgium,39,51.18939972,4.460279942
ANS,Andahuaylas Airport,Andahuaylas,Peru,11300,-13.70639992,-73.35040283
ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,62,17.1367,-61.792702
ANV,Anvik Airport,Anvik,United States,291,62.646702,-160.190994
ANX,Andøya Airport,Andoya,Norway,43,69.29250336,16.14419937
AOC,Altenburg-Nobitz Airport,Altenburg,Germany,640,50.98194504,12.50638866
AOE,Anadolu Airport,Eskissehir,Turkey,2588,39.809898,30.5194
AOG,Anshan Air Base,Anshan,China,0,41.105301,122.853996
AOH,Lima Allen County Airport,Lima,United States,975,40.706902,-84.026703
AOI,Ancona Falconara Airport,Ancona,Italy,49,43.616299,13.3623
AOJ,Aomori Airport,Aomori,Japan,664,40.73469925,140.6909943
AOK,Karpathos Airport,Karpathos,Greece,66,35.42139816,27.14599991
AOL,Paso De Los Libres Airport,Paso De Los Libres,Argentina,230,-29.6894,-57.1521
AOO,Altoona Blair County Airport,Altoona,United States,1503,40.29639816,-78.31999969
AOR,Sultan Abdul Halim Airport,Alor Setar,Malaysia,15,6.189670086,100.3980026
AOS,Amook Bay Seaplane Base,Amook Bay,United States,0,57.471389,-153.815278
AOT,Aosta Airport,Aosta,Italy,1791,45.738499,7.36872
AOU,Attopeu Airport,Attopeu,Laos,344,14.81471536,106.8216991
APA,Centennial Airport,Denver,United States,5885,39.57009888,-104.848999
APC,Napa County Airport,Napa,United States,35,38.2132,-122.280998
APF,Naples Municipal Airport,Naples,United States,8,26.15259933,-81.77529907
APG,Phillips Army Air Field,Aberdeen,United States,57,39.466202,-76.1688
API,Gomez Nino Apiay Air Base,Apiay,Colombia,1207,4.07607,-73.5627
APK,Apataki Airport,Apataki,French Polynesia,8,-15.57359982,-146.4149933
APL,Nampula Airport,Nampula,Mozambique,1444,-15.10560036,39.28179932
APN,Alpena County Regional Airport,Alpena,United States,690,45.0780983,-83.56030273
APO,Antonio Roldan Betancourt Airport,Carepa,Colombia,46,7.81196,-76.7164
APQ,Arapiraca Airport,Arapiraca,Brazil,886,-9.775360107,-36.62919998
APW,Faleolo International Airport,Faleolo,Samoa,58,-13.82999992,-172.0079956
APZ,Zapala Airport,ZAPALA,Argentina,3330,-38.975498,-70.113602
AQA,Araraquara Airport,Araracuara,Brazil,2334,-21.81200027,-48.13299942
AQB,Santa Cruz del Quiche Airport,Santa Cruz des Quiche,Guatemala,6631,15.01220036,-91.15059662
AQC,Klawock Seaplane Base,Klawock,United States,0,55.55469894,-133.102005
AQG,Anqing Tianzhushan Airport,Anqing,China,0,30.582199,117.050003
AQI,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,1174,28.335199,46.125099
AQJ,Aqaba King Hussein International Airport,Aqaba,Jordan,175,29.61160088,35.01810074
AQP,Rodríguez Ballón International Airport,Arequipa,Peru,8405,-16.34110069,-71.58309937
ARA,Acadiana Regional Airport,Louisiana,United States,24,30.0378,-91.883904
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States,839,42.22299957,-83.74559784
ARC,Arctic Village Airport,Arctic Village,United States,2092,68.1147,-145.578995
ARD,Mali Airport,Alor Island,Indonesia,10,-8.132340431,124.5970001
ARE,Antonio Nery Juarbe Pol Airport,Arecibo,Puerto Rico,23,18.45000076,-66.6753006
ARH,Talagi Airport,Arkhangelsk,Russia,62,64.60030365,40.71670151
ARI,Chacalluta Airport,Arica,Chile,167,-18.3484993,-70.33869934
ARK,Arusha Airport,Arusha,Tanzania,4550,-3.367789984,36.63330078
ARM,Armidale Airport,Armidale,Australia,3556,-30.52809906,151.6170044
ARN,Stockholm-Arlanda Airport,Stockholm,Sweden,137,59.65190125,17.91860008
ARR,D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,2286,-45.013599,-70.812202
ART,Watertown International Airport,Watertown,United States,325,43.9919014,-76.021698
ARU,Araçatuba Airport,Aracatuba,Brazil,1361,-21.1413002,-50.42470169
ARV,Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,United States,1629,45.92789841,-89.73090363
ARW,Arad International Airport,Arad,Romania,352,46.17660141,21.26199913
ARY,Ararat Airport,,Australia,1008,-37.30939865,142.9889984
ASA,Assab International Airport,Assab,Eritrea,46,13.07180023,42.64500046
ASB,Ashgabat Airport,Ashkhabad,Turkmenistan,692,37.98680115,58.36100006
ASD,Andros Town Airport,Andros Town,Bahamas,5,24.69790077,-77.79560089
ASE,Aspen-Pitkin Co/Sardy Field,Aspen,United States,7820,39.22320175,-106.8690033
ASF,Astrakhan Airport,Astrakhan,Russia,-65,46.28329849,48.00630188
ASH,Boire Field,Nashua,United States,199,42.78170013,-71.51480103
ASI,RAF Ascension Island,Wide Awake,Saint Helena,278,-7.969600201,-14.39369965
ASJ,Amami Airport,Amami,Japan,27,28.43059921,129.7129974
ASK,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,699,6.903170109,-5.365580082
ASM,Asmara International Airport,Asmara,Eritrea,7661,15.29189968,38.91070175
ASN,Talladega Municipal Airport,Talladega,United States,529,33.56990051,-86.05090332
ASO,Asosa Airport,Asosa,Ethiopia,5100,10.01850033,34.5862999
ASP,Alice Springs Airport,Alice Springs,Australia,1789,-23.80669975,133.9019928
ASR,Kayseri Erkilet Airport,Kayseri,Turkey,3463,38.770401,35.49539948
AST,Astoria Regional Airport,Astoria,United States,15,46.15800095,-123.8789978
ASU,Silvio Pettirossi International Airport,Asuncion,Paraguay,292,-25.23999977,-57.52000046
